862 124	Yan Zhang
3887 114001	Tzung-Pei Hong
1286 114003	Bijit Hore
1288 114008	Ming-Jyh Hsieh
1290 114009	Jia-Lien Hsu
1291 114010	Ning-Han Liu
1293 114012	Chih-Hao Hsu
1294 114013	Guanling Lee
1813 114015	Dik Lun Lee
1300 114016	Yanqing Zhang
1307 114017	Jiun-Long Huang
3671 114030	David D. Lewis
1313 114039	Angelo J. Pilotto
1315 114040	Jiwoon Jeon
1316 114041	Joon Ho Lee
1337 114046	Luo Si
8581 114049	Theodore Johnson
2051 114051	Hideo Joho
1340 114052	William P. Jones
1342 114054	Seikyung Jung
1343 114055	Janet Webster
3395 114059	Albrecht Schmidt 0002
1351 114060	B?rkur Sigurbj?rnsson
1354 114061	Hoang Oanh Nguyen Thi
1359 114065	Tae Sik Han
2455 114067	Myoung-Ah Kang
1363 114068	Shian-Hua Lin
2834 114070	Reynold Cheng
1367 114080	Xiao-Jun Yuan
1368 114081	Vanessa Murdock
1376 114087	Byung Suk Lee
1377 114088	Ji-Woong Chang
1381 114096	Vidya Prabakarmurthi
1384 114097	Georgia Koloniari
1385 114098	Yannis Petrakis
1386 114099	Thodoris Tsotsos
1388 114100	Henry Kon
1389 114101	Michael Hoey
2082 114103	Kalervo J?rvelin
2619 114104	Nick Koudas
1391 114109	Reiner Kraft
1392 114110	Farzin Maghoul
1393 114111	Chi-Chao Chang
1408 114115	A. Kumaran
1411 114116	Giridhar Kumaran
2058 114118	Jane Reid
3154 114121	Bin Lan
1414 114125	Roberto Zanoli
7913 114126	Dawn Lawrie
1765 114127	Paul Ogilvie
3217 114129	Seung Jin Lim
1428 114132	Wesley W. Chu
1419 114134	Boon Chin Chua
1560 114137	Ratko Orlandic
1423 114142	Chang-Hung Lee
1424 114143	Cheng-Ru Lin
1429 114146	Murali Mani
1430 114147	Frank Chiu
1432 114148	Matthew B. Koll
1435 114150	Songting Chen
1446 114153	Chih-Chin Liu
1442 114164	Xia Yang
1447 114166	Po-Jun Tsai
1449 114167	Erwin Leonardi
7920 114170	Anton Leuski
1455 114171	Nan Liu
1456 114172	Christopher C. Yang
1459 114174	Yanjun Li
1469 114175	Yunhua Hu
1470 114176	Shenjie Li
1471 114177	Dmitriy Meyerzon
1476 114179	Wenwu Lou
1482 114180	Changqing Li
1479 114181	Adrian Santoso
1483 114182	Tian Yu
1500 114185	Tong-Heng Phang
9681 114187	Kenneth A. Ross
9595 114189	Chung-Sheng Li
1507 114192	Zheng Xuan Loh
1508 114193	Sin Yeung Lee
1510 114194	Shenghuo Zhu
1514 114195	Martin Lorenz
1515 114196	Jan D. Gehrke
1516 114197	Hagen Langer
1519 114198	Jie Lian
1520 114199	Lei Chen 0002
1521 114200	Kshirasagar Naik
1522 114201	Gordon B. Agnew
1525 114205	Ken Q. Pu
2105 114208	Henrik Nottelmann
1536 114209	Misun Chung
1538 114213	Yiming Ma
1539 114214	Qi Zhong
1540 114215	Dawit Yimam Seid
1547 114223	Jamie Ng
1548 114224	Hong Pan
1549 114225	Qiu-Xiang Li
1552 114226	Riccardo Martoglia
1553 114227	Enrico Ronchetti
1555 114228	Paolo Tiberio
6616 114229	Christoph Mangold
1561 114230	Ying Lai
1562 114231	Wai Gen Yee
1567 114236	Sreelakshmi Vaddi
5530 114241	Fatma Ozcan
1571 114244	Jean Martinet
1572 114245	Yves Chiaramella
1574 114248	Terrence Mason
1575 114249	Ramon Lawrence
1577 114251	Jia-Yu Pan
8884 114254	Vasilis Vassalos
1581 114255	Paul McNamee
1582 114256	Claudia Pearce
1585 114257	Subhasish Mazumdar
1586 114258	Mateusz Pietrzyk
7595 114259	M. Catherine McCabe
1591 114262	Guo Li
1596 114265	Anand Meka
2537 114271	Peter Scheuermann
1603 114275	Sabine Rabas¨¦da
1610 114277	Yingbo Miao
1615 114279	Vojkan Mihajlovic
1618 114284	Ron Hoory
1619 114285	Alexey Roytman
1627 114289	Yuqing Wu
2956 114293	Mohamed F. Mokbel
1630 114295	Yves Petinot
1631 114296	Vivek Bhatnagar
1632 114297	Pradeep B. Teregowda
1633 114298	Hui Han
1634 114299	Isaac G. Councill
1639 114303	Helen Pinto
1653 114305	Benjamin Piwowarski
1655 114306	Ramesh Nallapati
1660 114310	Amit Anil Nanavati
1661 114311	Sachindra Joshi
1680 114319	Naizhen Qi
1688 114324	Zhiping Zheng
1690 114325	Daniel Tam
1693 114327	Ganesh Ramakrishnan
1694 114328	Deepa Paranjpe
1698 114329	Arun Iyengar
1705 114331	Yves Rasolofo
1706 114332	Faiza Abbaci
1709 114333	Devanand Ravindran
1713 114334	Richard Relue
1720 114335	M. Elena Renda
1723 114337	Stephen E. Robertson
1724 114338	Hugo Zaragoza
1727 114343	Jonathan Schler
1731 114347	Kesheng Wu
1733 114348	Dmitri Roussinov
1736 114349	Shree Raman
3374 114351	Yasushi Sakurai
1739 114353	Jason Sankey
1749 114360	Urvi Shah
1752 114361	Norbert Roma
1760 114362	Xuehua Shen
1761 114363	Bin Tan
1772 114372	Sudhir Verma
1773 114373	Amit J. Shah
1774 114374	Swaroop K. Chalasani
4187 114375	Lisa Singh
2800 114376	Bin Chen
1777 114377	Tao Hu
1778 114378	Vikas Chowdhry
1780 114384	Yang Song
3476 114386	Min-Jae Lee
1782 114389	W. Scott Spangler
1783 114390	Jeffrey T. Kreulen
1786 114396	Munirathnam Srikanth
1788 114397	Vladimir Zbarsky
1791 114398	Renato O. Stehling
1793 114399	Hong Su
1794 114400	Jinhui Jian
9286 114404	Val Tannen
1797 114406	Aixin Sun
1799 114409	Timothy M. Sutherland
1800 114410	Mariana Jbantova
1804 114412	Toru Takaki
1814 114413	Qingzhao Tan
1821 114417	Yufei Tao
1826 114419	Egidio Terra
1830 114423	Junji Tomita
1831 114424	Hidekazu Nakawatase
1832 114425	Megumi Ishii
1834 114426	Ricardo da Silva Torres
1835 114427	Baoping Zhang
1837 114428	Celmar G. Silva
1838 114429	Claudia Bauzer Medeiros
1839 114430	Heloisa Vieira da Rocha
2009 114431	Kris Popat
1843 114432	Roberto F. Santos Filho
1845 114434	Theodora Tsikrika
9238 114439	Vagelis Hristidis
1847 114442	Michail Vlachos
1848 114443	Zografoula Vagena
1849 114444	Vassilis Athitsos
7526 114446	Ellen M. Voorhees
1862 114448	Anton Schwaighofer
1864 114451	Hwanjo Yu
1872 114452	Xiaohui Yu
1874 114453	Junmei Wang
1880 114454	Frederick H. Lochovsky
7231 114455	Amir M. Zarkesh
7232 114456	Reza Sadri
1882 114459	Sarah Zelikovitz
1891 114460	Xiaofeng He
1892 114461	Horst D. Simon
1897 114466	Yuxin Chen
1904 114469	Zhenjie Zhang
1905 114470	Xinyu Guo
1906 114471	Hua Lu
1908 114476	Jahna Otterbacher
1911 114477	Michael Mlivoncic
1918 114479	Ryen White
1919 114480	Ian Ruthven
1925 114481	Navendu Garg
1929 114485	Dwi H. Widyantoro
3571 114488	Yun Chi
1931 114489	Kaidi Zhao
1932 114490	Thomas M. Tirpak
1933 114491	Weimin Xiao
1939 114498	Yinghua Zhou
1942 114499	Yongluan Zhou
1943 114500	Ying Yan
1950 114505	Yangbo Zhu
1953 114506	Ekow J. Otoo
6339 114521	Michael Steinbach
2578 114523	Jianliang Xu
8208 114526	Azadeh Shakery
1972 114527	Sridhar Rajagopalan
1973 114528	Kevin S. Beyer
8262 114529	Xiang Ji
2111 114530	Craig Macdonald
8293 114531	Bryan Kisiel
7320 114534	Ming Jiang
9800 114535	Jiying Wang
8103 114544	Chirag Shah
7371 114548	Song Lin
8199 114560	Ho Chung Wu
7758 114566	Paul Thomas
3657 114584	Jen-Wei Huang
4346 114585	Jieping Ye
8861 114595	Xiaoyu Wang
2342 114603	Zhaohui Zheng
2362 114617	Donghui Zhang
2609 114618	Yu Xu
7321 114622	Sameep Mehta
2689 114631	Juliana Freire
2908 114633	Vassilios S. Verykios
9874 114637	Aris Anagnostopoulos
7481 114640	Claudine Santos Badue
10011 114642	Jong Wook Kim
8801 114646	Hetal Thakkar
3228 114647	Chang Luo
3419 114649	Ioana Stanoi
9629 114650	Themis Palpanas
3139 114651	Christian A. Lang
2030 114654	Ois¨ªn Boydell
9235 114662	Sarvjeet Singh
2837 114663	Rahul Shah
2838 114664	Yuni Xia
7432 114665	Debapriyo Majumdar
6332 114677	Xiaodan Song
10024 114678	Koji Hino
8907 114704	Matthew O. Ward
3702 114740	Stephan Bloehdorn
8487 114751	Loretta Auvil
3946 114774	Akihiro Inokuchi
7546 114782	Yael Petruschka
7031 114792	Nam Hun Park
4391 114821	Bj?rn Bringmann
5813 114824	Jouni K. Sepp?nen
6871 114826	Toon Calders
5892 114832	Daniel Kifer
5893 114833	Cristian Bucila
3199 114837	Xiaoxin Yin
3976 114839	Paolo Palmerini
2356 114844	Albrecht Zimmermann
6036 114887	Bin Fang
6706 115131	Weicai Zhong
8272 115161	Jinwen Ma
7077 115300	Qunxia Li
6080 115350	Jing Dai
6610 115392	Bo Xie
7825 115770	Robert Weibel
6811 116119	Surong Wang
6542 116120	Liang-Tien Chia
7676 116643	Yuli Gao
7890 116656	Wessel Kraaij
8148 116669	Alexander C. Loui
6333 116670	Ming-Ting Sun
7479 116673	Cornelis Joost van Rijsbergen
6255 116689	Pinar Duygulu
2004 116692	Mohammed Belkhatir
2027 116707	Daniel Heesch
7790 116714	Keiichiro Hoashi
6742 116729	Jung-Hwan Oh
2209 116763	Ira Cohen
2282 116768	ShyamSundar Rajaram
7554 116857	Nuno Vasconcelos
2283 116870	Xiang Sean Zhou
4518 116878	Sheng Gao
6424 116891	Atulya Velivelli
8068 117002	Andreas Rauber
4593 117024	Yushi Jing
2660 117074	Marcelo Arenas
9883 117080	Geert Jan Bex
7126 117081	Frank Neven
7009 117127	Sergei A. Obiedkov
3450 117235	Tara M. Madhyastha
2690 117239	Philip Bohannon
7727 117246	Tim Gollins
7850 117255	Eija Airio
2083 117256	Heikki Keskustalo
7851 117257	Turid Hedlund
8045 117258	Ari Pirkola
7768 117259	Jianqiang Wang
7745 117280	Preben Hansen
7755 117282	Donna Harman
7769 117287	Michael Nossal
2107 117307	Giorgio Maria Di Nunzio
2095 117308	Christof Monz
6694 117313	Been-Chian Chien
3072 117319	Hideo Itoh
3073 117320	Hiroko Mano
3074 117321	Yasushi Ogawa
2043 117344	Vassilis Plachouras
7991 117356	Miguel E. Ruiz
7457 117388	Bogdan Vrusias
7452 117396	Javier Artiles
2123 117398	Laura Perret
2052 117403	Micheline Beaulieu
7634 117418	Philipp Daumke
8007 117420	Dagobert Soergel
8008 117421	Xiaoli Huang
7474 117445	Leif Azzopardi
7712 117452	Ray R. Larson
8190 117470	Dolf Trieschnigg
8143 117480	Mitchell Bowden
8135 117643	Eero Sormunen
5026 117659	Thomas Bolander
3677 117812	Monika Rauch Henzinger
3248 118326	Xiangmin Jiao
9485 119261	Samuel Kounev
8851 119644	Patrick E. O'Neil
4469 120750	Huma Lodhi
9849 120832	Qiang Ye
4399 121225	Ran El-Yaniv
7157 121241	Erik Vee
7177 121330	Martin Grohe
5819 121434	Dharmendra S. Modha
3909 122095	Stephen J. Wright
2505 122150	Willem Jonker
6357 122263	Fionn Murtagh
8081 123336	Yumi Ichimura
8082 123337	Yoshimi Saito
7884 123392	Kimmo Koskenniemi
4073 123535	Hsi-Jian Lee
6224 123615	Takayuki Nakata
5544 123675	Guy De Pauw
7713 123999	Michael K. Buckland
3644 124000	Richard Butterworth
7879 124019	Peter Ingwersen
7880 124025	Birger Larsen
7507 124044	Colleen Cool
4449 124096	Aharon Bar-Hillel
4640 124099	Peter L. Bartlett
2993 124106	Sudipto Guha
5838 124120	Reba Schuller
7273 124128	Dimitris Bertsimas
4483 124167	Ofer Dekel
4802 124168	Shai Shalev-Shwartz
4781 124190	Shai Fine
5987 124204	Olvi L. Mangasarian
2228 124207	Thomas G?rtner
4535 124211	Ran Gilad-Bachrach
4536 124212	Amir Navot
4651 124219	Ralf Herbrich
4574 124220	Amir Jafari
4414 124231	Michael I. Jordan
5166 124235	Sham M. Kakade
4846 124262	Daniel J. Lizotte
5750 124263	Joseph Sill
8236 124268	Vijay Raghavan
4409 124277	Kristin P. Bennett
4032 124281	Andrew B. Nobel
4768 124308	Nathan Srebro
3313 124333	Nimrod Megiddo
4134 124335	Saharon Rosset
2624 124337	Neeraj Agrawal
2625 124339	Sumit Negi
8988 124345	Donovan A. Schneider
2819 124348	Venkatesh Ganti
2745 124400	Sunita Sarawagi
2881 124761	Samuel DeFazio
5384 125002	Blake Hannaford
8595 125199	Srinivasan Seshan
3196 125474	Inderpal Narang
6419 125729	Michael Garland
3405 125747	Ke Yi
9590 125752	Yan Ke
5258 125813	Craig Silverstein
9517 125850	Cemal Yilmaz
9173 125853	Carola Wenk
6864 125855	Steven van Dijk
8629 125983	Naga K. Govindaraju
9986 126018	Igor Pechtchanski
6572 126418	Bavani Arunasalam
4146 126419	Robert Munro
3121 126543	Chris Clifton
5403 126630	Tuan-Fang Fan
6582 126805	Chi-Yuen Ng
9183 126907	Sangdon Lee
3267 127075	Haiyan Wang
4065 127311	Chang-Tien Lu
7583 127409	Jenq-Haur Wang
8794 127449	Yaxin Yu
4306 127456	Ching-Huang Yun
8346 127840	David Botzer
6651 128119	Jung-Im Won
6652 128120	Jeehee Yoon
8431 128273	P. P. S. Narayan
8736 128582	Oliver Spatscheck
5507 128855	Joost N. Kok
6795 128983	Kazuko Takahashi
6007 129374	Michael Griebel
5849 129446	Jonathan D. Becher
6518 129545	Markus Hegland
4241 129922	Sriharsha Veeramachaneni
3960 129979	Alexander Tuzhilin
9250 130064	Mariano Cilia
2457 130253	Andreas Koeller
9479 130255	David Konopnicki
3171 130273	Peter Bert¨®k
6358 130338	Feng Tao
2538 130344	Goce Trajcevski
8973 130398	Ling-Ling Yan
3417 130403	Janne Skyt
9753 130411	Michael Stillger
9961 130484	Mihail F. Ionescu
7781 130676	Sandra Poulain
5760 131114	Fr¨¦d¨¦ric Boussemart
5761 131115	Fred Hemery
5102 131169	Andrei A. Krokhin
5186 131177	J¨¦r?me Fortin
5711 131209	Michel Vasquez
5525 131226	Barry O'Callaghan
5272 131232	Tudor Hulubei
5395 131275	Jim McFadden
5447 131436	Armagan Tarim
3771 131685	Johannes Fischer
3772 131686	Volker Heun
9400 131712	Rajasekar Krishnamurthy
4874 131734	Roded Sharan
7070 131860	Shinichi Morishita
3378 131927	Sen Zhang
9725 131955	Albert A. Rizzo
7555 132409	Gustavo Carneiro
5018 132535	Jesse Hoey
4086 133220	Hanchuan Peng
2791 133343	M. Erdem Kurul
4066 133349	Dechang Chen
7003 133406	Mehmet Koyut¨¹rk
7004 133407	Ananth Grama
9998 133469	Gene H. Golub
8761 133475	Ron Weiss
3899 133491	Jun Huan
3900 133492	Jan Prins
4033 133579	Jinze Liu
3681 133788	Arnab Bhattacharya
3682 133789	Vebjorn Ljosa
7401 133921	Yi Xia
2545 134129	Yi-Cheng Tu
6027 134381	Natalie S. Glance
7342 134409	Hye-Chung Kum
6249 134537	Christopher R. Palmer
8862 134851	Yingguang Li
3400 134982	Lidan Shou
2352 135252	Ke-Jia Chen
9165 135521	Vanessa P. Braganholo
7107 136157	Pablo Barcel¨®
6773 136219	Mirco Nanni
7179 136228	Nicole Schweikardt
9338 136321	Andreas Neumann
7096 136344	Christof L?ding
5060 136773	Evgeny S. Skvortsov
4057 136813	Dmitry Pavlov
9094 138320	Sugata Ghosal
2411 138322	George Kollios
5440 138333	Arunava Banerjee
4823 138397	Vassil Chatalbashev
4571 138487	Yuri A. Ivanov
3833 138560	W. Philip Kegelmeyer
4739 138620	Thomas P. Minka
3705 138660	Carlotta Domeniconi
4450 138761	Noam Shental
5790 138823	Horst W. Haussecker
4677 138851	Joachim M. Buhmann
8915 138862	Du Q. Huynh
2253 139020	Martin H. C. Law
3937 139025	Rolf Lak?mper
5464 139147	Graham McNeill
2267 139148	Sethu Vijayakumar
3683 139241	Hyung-Jeong Yang
4607 139327	Koji Tsuda
4766 139348	Peter Sand
5652 139379	Kenji Shoji
5653 139381	Fubito Toyama
3586 139529	Yizhou Wang
4645 139564	Zhaoqi Bian
2575 139634	Manli Zhu
8811 139656	Jingdan Zhang
2517 140043	Quan Wang
4821 140582	Qingping Tao
6984 140899	Paul Bradley
4411 143606	Andrew Moore
4257 143990	J?rg A. Walter
7826 146084	Monika Sester
5249 146412	Rachid Alami
5031 146544	Alexander Nittka
9915 146572	Jeen Broekstra
5594 146670	David A. Rosenblueth
5142 146748	Giuliana Sabbatini
2850 146855	Jarek Gryz
3708 146901	David J. Hand
8206 146962	Reginald L. Lagendijk
7146 147023	Alin Deutsch
5471 147178	David Sontag
5472 147179	Daniel L. Ong
5473 147180	Andrey Kolobov
9712 147197	Pinar Senkul
2533 147263	Mario Paolucci
8237 147321	Chun Du
5934 147391	D. R. Mani
2542 147410	Sam Chamberlain
9896 147615	Massimo Santini
6422 147665	Ira Assent
2766 147883	Stratis Viglas
3134 147995	Maurice van Keulen
9100 148368	Nagender Bandi
9824 148373	John Cieslewicz
9348 148375	Pradeep Dubey
2235 148636	Stefan Klink
2236 148637	Armin Hust
2237 148638	Markus Junker
8434 148754	Michael Flaster
2843 148918	Yi-Hung Wu
2767 148924	Byron Choi
9835 148926	Zhihong Chong
3127 148948	Cui Yu
8908 148965	Punit R. Doshi
3427 148983	Shen-Tat Goh
9389 149004	Eric Lo
2824 149072	Chee Yong Chan
6011 149074	Wen Jin
3458 149075	Yuelong Jiang
2835 149090	Dmitri V. Kalashnikov
3477 149133	Jae-Gil Lee
9153 149141	Oliver Po
8498 149142	Wang-Pin Hsiung
3501 149169	Congjun Yang
9186 149170	Runping Qi
2476 149182	Guimei Liu
7765 149184	Haifeng Liu
6735 149211	Shuai Ma
9284 149239	C¨¦sar A. Galindo-Legaria
2612 149267	Kristian Torp
9607 149273	Rie Sawai
6713 149367	K. K. Loo
3239 149375	Shihui Zheng
3057 149382	Haibo Hu
9775 149386	Xiang Lian
3009 149389	Victor Teixeira de Almeida
9246 152007	Seok-Lyong Lee
3611 152009	Shakil Ahmed
3600 152010	Frans Coenen
3601 152011	Paul H. Leng
8439 152056	Florian Krebs
2372 152069	Daniele Braga
2373 152070	Alessandro Campi
2922 152071	Filippo Furfaro
6942 152107	Kuo-Zui Lin
3202 152125	Wenyuan Li
3977 152127	Raffaele Perego
9304 152140	Joyce M. W. Lam
3413 152150	Nick Roussopoulos
3774 152169	Raymond Chi-Wing Wong
4208 152174	Choh-Man Teng
6124 152179	Murat Kantarcioglu
9019 152196	Wenbin Ma
3650 152237	Chun-Sheng Chen
2875 152338	Kenneth Salem
3212 152379	Jonathan Beaver
8835 152391	Toshiaki Okawara
9408 152439	Bongki Moon
2436 152451	Eshref Januzaj
3175 152472	Muralidhar Krishnaprasad
3176 152473	Zhen Hua Liu
3177 152474	Anand Manikutty
3178 152475	James W. Warner
1989 152483	Claudio Gennaro
2562 152486	Christian Wiesner
2761 152487	Ahmet Bulut
3129 152492	Anastasios Kementsietsidis
8863 152498	Chu Yee Liau
2594 152499	Uwe Thaden
2972 152554	Christoph Koch
8572 152562	Giansalvatore Mecca
8624 152581	Mary F. Fernandez
3042 152582	Lucian Popa
2672 152585	Jos¨¦ A. Blakeley
2878 152593	Carmem S. Hara
7162 152594	Wang Chiew Tan
2418 152598	Stefania Marrara
8762 152606	Tirthankar Lahiri
8560 152608	Gail Mitchell
9884 152613	Wim Martens
7198 152614	Dirk Leinders
9987 152623	Michael G. Burke
2513 152625	Mukund Raghavachari
9988 152631	Rajesh Bordawekar
8460 152637	Christopher R¨¦
8610 152640	Nicola Onose
2962 152916	Shu-Yuen Didi Yao
7903 153022	Stuart A. Sutton
1994 153056	Joaqu¨ªn Adiego
9889 153135	Greg J. Badros
7762 153259	W. J. Teahan
9351 153317	David Gibson
4724 153630	Martin J. Wainwright
3902 153652	Gary Promhouse
9749 153672	Raymie Stata
3678 153733	Matthias Ruhl
7557 153994	Antonio Fari?a
7167 154064	Anna C. Gilbert
8815 154199	Suman Nath
9837 154266	Shanzhong Zhu
8649 154835	Witold Staniszkis
9531 154894	Lipyeow Lim
9648 154903	Milenko Petrovic
7144 154916	S. Sudarshan
2811 154937	Cindy Xinmin Chen
9787 154946	Shalom Tsur
2037 155003	Fidel Cacheda
2039 155005	Victor Carneiro
8612 155331	Peter M. Fischer
2000 155355	Aidan Finn
2502 155372	Fragkiskos Pentaris
7696 155379	Hussein Suleman
2740 156173	Manish Bhide
7563 156174	Mukul Joshi
9409 156183	Quanzhong Li
2510 156207	Rolfe R. Schmidt
9507 156219	Dadabhai T. Singh
6911 156239	Riccardo Ortale
7897 156301	Martin Choquette
8710 156336	Ionut Emil Iacob
1990 156358	Vlastislav Dohnal
2825 156380	Pin-Kwang Eng
9611 156422	Ramesh Bhashyam
7725 156429	Kazuo Goda
6906 156445	Graham Goulbourne
2851 156448	Dongming Liang
3816 156449	J. W. Guan
3137 156542	Dao Dinh Kha
6154 156563	Richard D. Lawrence
6653 156629	Woo-Cheol Kim
4394 156643	Y. Y. Yao
2115 156656	Juan Manuel P¨¦rez
2020 156680	Alvaro Barreiro
9588 156721	Mirella Moura Moro
8311 156761	Itaru Nishizawa
2116 156769	Mar¨ªa Jos¨¦ Aramburu
6417 156806	Navneet Panda
8892 156823	Chen Qun
2546 156871	Radu Sion
8211 157069	Lee Wang
3658 157123	Bi-Ru Dai
9376 157136	Sherif Sakr
2040 157273	¨¢ngel Vi?a
9876 157285	Vinod Anupam
9149 157345	Rachel Pottinger
2047 157386	Luis M. de Campos
2048 157387	Juan M. Fern¨¢ndez-Luna
2049 157388	Juan F. Huete
8680 157409	Alberto Lerner
6886 157424	Anna Maddalena
4538 157624	Mark Girolami
7332 157625	Ata Kab¨¢n
9608 157689	Yin-Huei Loh
3910 157724	Zheng Huang
2866 157910	Feifei Li
2086 157971	David E. Losada
8650 158027	Bartosz Nowicki
7239 158065	Dimitris Papadopoulos
2363 158066	Vassilis J. Tsotras
8037 158072	Nikolaos Nanas
6840 158370	Weinan Wang
3655 158461	Paolo Garza
9258 158661	Jonathan Mamou
2392 158676	Periklis Andritsos
3043 158677	Yannis Velegrakis
2021 158688	Roi Blanco
7050 159739	Fabien Feschet
5234 159793	Masatoshi Hamanaka
4116 159803	Norberto F. Ezquerra
2650 160090	Abdelmounaam Rezgui
5939 160111	Giri Kumar Tayi
2887 160141	Mathew Weaver
7343 160161	Dean Duncan
6304 160212	Alan F. Karr
6305 160217	Ashish P. Sanil
6306 160220	Xiaodong Lin
6307 160221	Jerome P. Reiter
6247 160262	Steven Orla Kimbrough
4323 160263	Balaji Padmanabhan
4324 160264	Yinghui Yang
9450 160417	Reagan Moore
4090 160447	Daoying Ma
6065 160486	Shlomo Hershkop
2629 160668	Ning An
4911 161012	Chen Avin
9591 161039	Brad Karp
4037 161321	Marimuthu Palaniswami
7992 161889	Padmini Srinivasan
9981 161999	Peter Mork
2527 162027	Etzard Stolte
6070 162188	Trong Dung Nguyen
6071 162205	Si Quang Le
3620 162219	Tatsuya Asai
6593 162220	Takashi Matsuda
3652 162275	Xiaoshu Hang
3594 162317	Amanda Clare
4143 162334	Fabrice Muhlenbach
6771 162351	Mineichi Kudo
6340 162431	Christopher Potter
6341 162433	Steven A. Klooster
2332 162446	Shijun Wang
5734 162452	Fuminori Adachi
2310 162480	Shiliang Sun
7482 163016	Ramurti A. Barbosa
8585 163075	David DeHaan
4916 163091	Fran?ois Goasdou¨¦
7043 163124	V¨¦ronique Ventos
5145 163146	Roman Schindlauer
4669 163155	Shengping Liu
2393 163171	Ren¨¦e J. Miller
3361 163430	Nikos Karayannidis
9281 163433	Yingwei Cui
9362 163437	Cristian-Augustin Saita
4130 163442	Oded Maimon
9451 163462	Arun Jagatheesan
8847 163539	Zohreh Nazeri
9569 163558	Nicolas Werro
4113 163572	David J. Haglin
4114 163573	Anna M. Manning
2977 163702	Xiaohong Wang
6617 163704	Jochen Hipp
2571 163705	Chris Jermaine
4199 163706	Yuchang Lu
4225 163707	Chunyi Shi
6972 163708	Samiran Ghosh
3326 163711	Wagner Truppel
4151 163714	Cesar A. Santana
4152 163715	Levien de Braal
7993 163716	Gautam Pant
7222 163718	Ganesh Ramesh
2367 163719	Ramakrishnan Srikant
8591 164015	Pavan Deolasee
8592 164016	Amol Katkar
8593 164017	Ankur Panchbudhe
2752 164044	Lola Olsen
2753 164100	Kishan Nagendra
2754 164101	Srinivasan Sikkupparbathyam
2755 164102	Marcelo Areal
2756 164103	David Kendig
2757 164105	Rosy Cordova
2758 164106	Gene Major
9864 164205	Daniel Gruhl
5997 164235	Iraklis Varlamis
4153 164355	Ernest V. Garcia
8923 164373	Antonios Deligiannakis
6440 164391	Nan Zhang 0004
9391 164392	Igor Timko
8728 164399	Dimitris Sacharidis
9673 164402	Maddalena Garzetti
10161 164500	Joel L. Wolf
8562 164822	George Colliat
4652 165448	Yaoyong Li
2641 165606	Abhinandan Das
7547 165633	Eitan Farchi
8219 165645	Ni Lao
2630 165670	Zhen-Yu Yang
8758 166593	Andreas M¨¹ller
3553 167915	Raymond Chan
4917 167939	Philippe Adjiman
2176 167953	Isabelle Alvarez
2002 168007	Evelyn Balfe
6899 168038	Christos Berberidis
6880 168114	Gemma Casas-Garriga
5181 168300	Jeremy Forth
5239 168373	Ir¨¨ne Grosclaude
5405 168523	Amy Loutfi
5467 168550	Richard C. Meathrel
5508 168590	Siegfried Nijssen
2323 168704	Ansaf Salleb
4249 168821	Murali-Krishna Achari
5549 168849	Paul Weng
6642 169115	DaeEun Kim
3857 169299	Jon Timmis
7308 170117	Yiping Zhan
9559 170210	Natalia Ivanova
9560 170213	Ernest Szeto
9561 170215	Nikos Kyrpides
4869 170348	Matthew D. Mullin
5385 170805	Jonathan Lester
6053 171091	David Madigan
1997 171176	Yun-Fang Juan
7688 171183	Paul Ferguson
2011 171189	David J. Bell
2015 171190	Anis Benammar
7508 171199	Gheorghe Muresan
2024 171201	Jiamin Ye
7796 171204	Eduard Hoenkamp
2041 171206	Carmen Guerrero
2059 171215	Gabriella Kazai
2061 171217	Sherezad Masood
2068 171228	Karen Church
7827 171229	Ross Purves
7588 171234	Christian Kohlsch¨¹tter
2084 171238	Raija Lehtokangas
7941 171239	Shao Fen Liang
2089 171245	Irmina Masowska
2091 171248	Craig J. A. McEwan
2102 171252	Pio Nardiello
2120 171262	Stefan Quicker
2125 171263	Catherine Paterson
2126 171264	Wai Tung Lo
2128 171279	Thomas S?dring
7812 171280	Guomao Xin
2135 171292	Pertti Vakkari
2137 171293	Olga Vechtomova
2139 171294	Jes¨²s Vegas
2143 171297	Vishwa Vinay
2153 171302	Forbes Gibb
2157 171303	Jizhi Wang
7836 171322	Oren Kurland
8150 171336	Trevor Strohman
2773 171347	Gaurav Pandey
7513 171371	Paul N. Bennett
6674 171559	Koen Vanhoof
9839 172025	George Philip
8374 172389	Olga Papaemmanouil
6979 173219	Uwe Dick
2168 173220	Ulf Brefeld
2169 173221	Christoph B¨¹scher
6032 173240	Soumen Chakrabarti
2183 173241	Chien Chin Chen
2184 173242	Yao-Tsung Chen
2191 173254	Steffen Bickel
2192 173255	Peter Haider
2205 173288	J?rg Fischer
2207 173289	George Forman
2211 173302	Grzegorz G¨®ra
2212 173303	Arkadiusz Wojna
2220 173318	Aloak Kapoor
2232 173329	Robin Jaulmes
4160 173339	Tomi Silander
6075 173341	Gholamreza Nakhaeizadeh
5822 173344	Suvrit Sra
2242 173349	Thomas Melluish
2246 173350	Stewart M. Yang
2249 173358	Ingo Mierswa
4667 173371	Mohak Shah
4478 173376	Dominic Mazzoni
2268 173403	Stefan Schaal
2278 173407	Stefan Raeymaekers
2285 173410	Carsten Riggelsen
2299 173434	Hendrik Skubch
2306 173439	Yuk Lai Suen
